seed,arm,cov_score,cov_int,width,q_hat,mean_theta
20260826,opt,0.9130,0.9140,0.9414,-0.0002,0.01222
20260826,bopt,0.9140,0.9120,0.9977,-0.0008,0.01924
20260827,ET,0.9140,0.9070,0.9318,-0.0149,0.05000
20260827,opt,0.9010,0.9020,0.8679,-0.0110,0.01412
20260827,bopt,0.8910,0.8940,0.8487,-0.0198,0.01664
20260828,ET,0.9080,0.9030,0.8965,-0.0257,0.05000
20260828,opt,0.9250,0.9300,0.9128,-0.0071,0.01285
20260828,bopt,0.9240,0.9270,0.9359,-0.0089,0.01680
20260829,ET,0.8900,0.8710,0.9061,-0.0266,0.05000
20260829,opt,0.9000,0.8990,0.8357,-0.0250,0.01329
20260829,bopt,0.8930,0.8860,0.8363,-0.0310,0.01632
20260830,ET,0.8860,0.8770,0.8953,-0.0259,0.05000
20260830,opt,0.8980,0.8990,0.8944,-0.0111,0.01487
20260830,bopt,0.9070,0.9020,0.9360,-0.0128,0.01976
20260831,ET,0.9070,0.8950,0.9501,-0.0181,0.05000
20260831,opt,0.9030,0.9080,0.8768,-0.0130,0.01160
20260831,bopt,0.8940,0.8980,0.8788,-0.0219,0.02147
20260832,ET,0.9060,0.8990,0.9657,-0.0161,0.05000
20260832,opt,0.9010,0.9080,1.3822,0.0038,0.01134
20260832,bopt,0.9060,0.9090,0.9974,-0.0042,0.02276
20260833,ET,0.8560,0.8530,0.8187,-0.0369,0.05000
20260833,opt,0.8770,0.8820,0.8649,-0.0114,0.01307
20260833,bopt,0.8750,0.8740,0.8618,-0.0207,0.02171
20260834,ET,0.8760,0.8540,0.8490,-0.0444,0.05000
20260834,opt,0.8880,0.8850,0.8266,-0.0334,0.01248
20260834,bopt,0.8770,0.8700,0.8112,-0.0445,0.02292
20260835,ET,0.9320,0.9150,0.9603,-0.0162,0.05000
20260835,opt,0.9410,0.9460,1.5863,0.0060,0.01343
20260835,bopt,0.9340,0.9320,0.9509,-0.0103,0.02116
20260836,ET,0.8940,0.8810,0.8941,-0.0288,0.05000
20260836,opt,0.8880,0.8880,0.8426,-0.0232,0.01404
20260836,bopt,0.8670,0.8600,0.7909,-0.0416,0.01973
20260837,ET,0.9110,0.9010,0.9515,-0.0225,0.05000
20260837,opt,0.9170,0.9200,0.8857,-0.0167,0.01260
20260837,bopt,0.9200,0.9190,0.9413,-0.0158,0.02053
20260838,ET,0.8790,0.8670,0.8916,-0.0383,0.05000
20260838,opt,0.9070,0.9010,0.8820,-0.0238,0.01079
20260838,bopt,0.9000,0.8960,0.8801,-0.0303,0.01953
20260839,ET,0.9140,0.9040,0.9283,-0.0148,0.05000
20260839,opt,0.9120,0.9130,0.9195,-0.0012,0.01357
20260839,bopt,0.8990,0.9030,0.9051,-0.0099,0.01770
20260840,ET,0.9070,0.8920,0.8755,-0.0357,0.05000
20260840,opt,0.9260,0.9280,0.8678,-0.0211,0.01249
20260840,bopt,0.9240,0.9220,0.9285,-0.0211,0.02291
20260841,ET,0.9170,0.9100,0.8991,-0.0283,0.05000
20260841,opt,0.9050,0.9100,0.8540,-0.0223,0.01273
20260841,bopt,0.9160,0.9180,0.9074,-0.0190,0.02023
20260842,ET,0.8900,0.8730,0.8756,-0.0348,0.05000
20260842,opt,0.8940,0.8870,0.8081,-0.0347,0.01310
20260842,bopt,0.8870,0.8820,0.8190,-0.0372,0.01639
20260843,ET,0.8920,0.8770,0.8749,-0.0268,0.05000
20260843,opt,0.9070,0.9150,0.9006,-0.0060,0.01326
20260843,bopt,0.9080,0.9060,0.9201,-0.0129,0.02122
20260844,ET,0.8810,0.8710,0.8152,-0.0431,0.05000
20260844,opt,0.9050,0.9060,0.8168,-0.0285,0.01261
20260844,bopt,0.9030,0.9000,0.8484,-0.0301,0.02248
20260845,ET,0.9230,0.9150,0.9430,-0.0156,0.05000
20260845,opt,0.9430,0.9460,2.7549,0.0164,0.01323
20260845,bopt,0.9450,0.9450,2.1230,0.0110,0.01983
20260846,ET,0.9180,0.9040,0.9551,-0.0199,0.05000
20260846,opt,0.9280,0.9330,1.2592,0.0030,0.01295
20260846,bopt,0.9280,0.9290,1.0168,-0.0041,0.01987
20260847,ET,0.9020,0.8980,0.9165,-0.0198,0.05000
20260847,opt,0.9080,0.9190,0.9893,0.0013,0.01524
20260847,bopt,0.9110,0.9180,1.0274,0.0011,0.02000
20260848,ET,0.9210,0.9170,1.0044,-0.0106,0.05000
20260848,opt,0.9320,0.9370,3.2500,0.0227,0.01288
20260848,bopt,0.9250,0.9270,2.5744,0.0142,0.01738
20260849,ET,0.9140,0.8950,0.9046,-0.0280,0.05000
20260849,opt,0.9130,0.9160,0.8714,-0.0182,0.01194
20260849,bopt,0.9110,0.9050,0.8856,-0.0232,0.01747
